step,total_loss,listener_loss,speaker_loss,accuracy,baseline,avg_message_length,message_length_std
1,2.1836483478546143,1.7457435131072998,-0.10290645062923431,0.125,0.125,2.0,0.0
2,1.569305419921875,1.668197751045227,-0.6098223924636841,0.0,0.1125,2.0,0.0
3,1.8541359901428223,1.4145879745483398,-0.06721663475036621,0.125,0.11375,2.0,0.0
4,2.7352170944213867,1.2841283082962036,0.9015294909477234,0.375,0.13987500000000003,2.0,0.0
5,3.5193700790405273,2.33027982711792,0.6477879881858826,0.375,0.16338750000000005,2.0,0.0
6,3.236365556716919,1.7701317071914673,0.9937160015106201,0.5,0.19704875000000005,2.0,0.0
7,2.485442876815796,1.6607589721679688,0.3808002173900604,0.375,0.21484387500000005,2.0,0.0
8,2.193753957748413,1.8029698133468628,-0.0985235869884491,0.25,0.21835948750000003,2.0,0.0
9,2.1581127643585205,1.8627257347106934,-0.2044108510017395,0.125,0.20902353875000004,2.0,0.0
10,2.0525310039520264,1.818827509880066,-0.2708447575569153,0.125,0.20062118487500005,2.0,0.0
